longitude;latitude;code_commune_station;libelle
55.288710268;-20.989957783;97415;SAINT-PAUL
55.309595961;-21.058356126;97415;SAINT-PAUL
55.229631108;-21.052327664;97415;SAINT-PAUL
55.238226885;-21.048767947;97415;SAINT-PAUL
55.238226885;-21.048767947;97415;SAINT-PAUL
55.287934952;-21.168595843;97413;SAINT-LEU
55.290258953;-21.168312252;97413;SAINT-LEU
55.288075395;-21.169780518;97413;SAINT-LEU
55.534590444;-21.181247256;97422;TAMPON
55.442894906;-21.316688854;97416;SAINT-PIERRE
55.497932157;-21.277507367;97416;SAINT-PIERRE
55.458790109;-21.333392557;97416;SAINT-PIERRE
55.513644261;-21.276246638;97416;SAINT-PIERRE
55.593253499;-21.215006669;97422;TAMPON
55.503628871;-21.284079951;97416;SAINT-PIERRE
55.52487778;-21.265984391;97422;TAMPON
55.500726674;-21.308904026;97416;SAINT-PIERRE
-54.437026296;4.986284467;97360;APATOU
-54.036170715;5.493567718;97311;SAINT-LAURENT-DU-MARONI
;;;
;;;
-54.052123842;3.384427262;97353;MARIPASOULA
-54.024466036;3.647586494;97353;MARIPASOULA
-54.142595126;3.805435012;97362;PAPAICHTON
-54.381705873;4.271536889;97357;GRAND-SANTI
-54.189616188;3.199926168;97353;MARIPASOULA
-54.119527324;3.279467073;97353;MARIPASOULA
-54.071830172;3.295289409;97353;MARIPASOULA
-54.088677656;3.225621995;97353;MARIPASOULA
-53.832881668;3.405833417;97353;MARIPASOULA
-53.930172891;3.393217089;97353;MARIPASOULA
-52.32699647;3.171688901;97356;CAMOPI
-52.322583447;3.171667805;97356;CAMOPI
-51.884756948;3.801667815;97308;SAINT-GEORGES
-52.36704657;3.178691204;97356;CAMOPI
-52.38324561;3.180794963;97356;CAMOPI
-52.488043995;3.176090312;97356;CAMOPI
-52.872735355;2.25838631;97356;CAMOPI
-52.330644036;3.081554738;97356;CAMOPI
-53.722771782;4.878134131;97306;MANA
-53.672679099;5.384362248;97306;MANA
-52.669731887;3.616710407;97301;REGINA
-52.560331985;4.019507259;97301;REGINA
-52.321934053;4.187812533;97301;REGINA
-52.886753864;4.549414056;97358;SAINT-ELIE
-53.110283097;4.741412715;97358;SAINT-ELIE
-53.152725422;4.732530656;97358;SAINT-ELIE
-53.012364368;4.882972746;97358;SAINT-ELIE
-53.03357645;4.966962885;97358;SAINT-ELIE
-53.044362163;5.066750236;97312;SINNAMARY
-53.058342664;5.071379993;97312;SINNAMARY
-53.071215814;5.09059564;97312;SINNAMARY
-53.053170916;5.092407374;97312;SINNAMARY
-53.04852589;5.094754722;97312;SINNAMARY
-53.003849668;5.35882275;97312;SINNAMARY
-52.510677659;4.535551791;97310;ROURA
-52.385968173;4.45795925;97310;ROURA
-52.262592691;4.536543916;97310;ROURA
-52.468595189;4.754533934;97313;MONTSINERY-TONNEGRANDE
-52.521056907;4.818565758;97313;MONTSINERY-TONNEGRANDE
-52.536600756;4.815266118;97313;MONTSINERY-TONNEGRANDE
-52.790250953;4.89644235;97304;KOUROU
-52.792182043;4.897142476;97304;KOUROU
-52.699673946;5.150361699;97304;KOUROU
-52.785487428;5.227193576;97304;KOUROU
7.606153158;47.556969907;99140;
7.528981528;47.564376836;68126;HEGENHEIM
7.508167695;47.587489322;68042;BLOTZHEIM
7.545293761;47.603575148;68297;SAINT-LOUIS
7.556488474;47.596980267;68297;SAINT-LOUIS
7.514201615;47.639123883;68021;BARTENHEIM
7.402934356;47.603518839;68132;HELFRANTZKIRCH
7.336371644;47.65948711;68324;STEINBRUNN-LE-HAUT
7.375372559;47.683850098;68174;LANDSER
7.402299785;47.789660363;68300;SAUSHEIM
7.480874862;47.758723631;68144;HOMBOURG
7.462997096;47.899842827;68140;HIRTZFELDEN
7.514937856;47.992088886;68246;OBERSAASHEIM
7.647875257;48.221808078;67453;SCHŒNAU
7.557677958;48.097190074;68019;BALTZENHEIM
7.65020065;48.266571353;67486;SUNDHOUSE
7.665814529;48.289669284;67090;DIEBOLSHEIM
7.694716301;48.326605288;67055;BOOFZHEIM
7.677065894;48.310351223;67146;FRIESENHEIM
7.7111514;48.395107831;67154;GERSTHEIM
7.686697312;48.368418417;67338;OBENHEIM
7.654202062;48.296111774;67146;FRIESENHEIM
7.661830933;48.30699269;67146;FRIESENHEIM
7.804630572;48.563180169;99109;
7.796697709;48.525505158;67482;STRASBOURG
7.802870979;48.592540377;67482;STRASBOURG
7.802870979;48.592540377;67482;STRASBOURG
7.39294943;47.488084245;68248;OLTINGUE
7.384941496;47.478018355;68248;OLTINGUE
7.296157592;47.460045735;68186;LIGSDORF
7.253991626;47.590251278;68138;HIRSINGUE
7.238848498;47.626074897;68004;ALTKIRCH
7.383929125;47.585871052;68027;BERENTZWILLER
7.275242652;47.622322327;68377;WITTERSDORF
7.265158336;47.652609274;68332;TAGOLSHEIM
7.266427845;47.654636122;68332;TAGOLSHEIM
7.197513938;47.462078582;68067;COURTAVON
7.154840168;47.564188893;68098;FRIESEN
7.157963028;47.562220686;68098;FRIESEN
7.108239939;47.631656198;68068;DANNEMARIE
7.057048712;47.630391493;68192;VALDIEU-LUTRAN
7.104532344;47.654860256;68336;TRAUBACH-LE-BAS
7.104532344;47.654860256;68336;TRAUBACH-LE-BAS
7.223092969;47.662169688;68319;SPECHBACH-LE-BAS
7.246257822;47.672407674;68152;ILLFURTH
7.322482411;47.735333762;68224;MULHOUSE
7.306562505;47.717758038;68070;DIDENHEIM
7.319517865;47.731405036;68056;BRUNSTATT-DIDENHEIM
7.31473329;47.728956361;68056;BRUNSTATT-DIDENHEIM
7.350424932;47.765765777;68154;ILLZACH
